Position,Team,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,Tier
1,Liverpool,38,25,9,4,86,41,45,84,Title Contender
2,Arsenal,38,20,14,4,69,34,35,74,Title Contender
3,Man City,38,21,8,9,72,44,28,71,Title Contender
4,Chelsea,38,20,9,9,64,43,21,69,Midtable
5,Newcastle,38,20,6,12,68,47,21,66,Midtable
6,Aston Villa,38,19,9,10,58,51,7,66,Midtable
7,Nott'm Forest,38,19,8,11,58,46,12,65,Midtable
8,Brighton,38,16,13,9,66,59,7,61,Midtable
9,Bournemouth,38,15,11,12,58,46,12,56,Midtable
10,Brentford,38,16,8,14,66,57,9,56,Midtable
11,Fulham,38,15,9,14,54,54,0,54,Midtable
12,Crystal Palace,38,13,14,11,51,51,0,53,Midtable
13,Everton,38,11,15,12,42,44,-2,48,Midtable
14,West Ham,38,11,10,17,46,62,-16,43,Midtable
15,Man United,38,11,9,18,44,54,-10,42,Midtable
16,Wolves,38,12,6,20,54,69,-15,42,Midtable
17,Tottenham,38,11,5,22,64,65,-1,38,Relegated
18,Leicester,38,6,7,25,33,80,-47,25,Relegated
19,Ipswich,38,4,10,24,36,82,-46,22,Relegated
20,Southampton,38,2,6,30,26,86,-60,12,Relegated
