date,city,city_name,total,houses,non_houses
2001-07-01,Sydney,Greater Sydney,2513.0,1124.0,1389.0
2001-07-01,Melbourne,Greater Melbourne,2895.0,2104.0,791.0
2001-07-01,Brisbane,Greater Brisbane,1341.0,1044.0,297.0
2001-07-01,Adelaide,Greater Adelaide,733.0,552.0,181.0
2001-07-01,Perth,Greater Perth,1453.0,1233.0,220.0
2001-07-01,Hobart,Greater Hobart,56.0,54.0,2.0
2001-07-01,Darwin,Greater Darwin,67.0,47.0,20.0
2001-07-01,ACT,Australian Capital Territory,182.0,112.0,70.0
2001-08-01,Sydney,Greater Sydney,2478.0,1133.0,1345.0
2001-08-01,Melbourne,Greater Melbourne,4671.0,2726.0,1945.0
2001-08-01,Brisbane,Greater Brisbane,1340.0,1069.0,271.0
2001-08-01,Adelaide,Greater Adelaide,615.0,543.0,72.0
2001-08-01,Perth,Greater Perth,1547.0,1322.0,225.0
2001-08-01,Hobart,Greater Hobart,62.0,58.0,4.0
2001-08-01,Darwin,Greater Darwin,43.0,25.0,18.0
2001-08-01,ACT,Australian Capital Territory,122.0,120.0,2.0
2001-09-01,Sydney,Greater Sydney,2832.0,1095.0,1737.0
2001-09-01,Melbourne,Greater Melbourne,3396.0,2212.0,1184.0
2001-09-01,Brisbane,Greater Brisbane,1316.0,958.0,358.0
2001-09-01,Adelaide,Greater Adelaide,635.0,520.0,115.0
2001-09-01,Perth,Greater Perth,1284.0,1118.0,166.0
2001-09-01,Hobart,Greater Hobart,79.0,59.0,20.0
2001-09-01,Darwin,Greater Darwin,42.0,28.0,14.0
2001-09-01,ACT,Australian Capital Territory,106.0,100.0,6.0
2001-10-01,Sydney,Greater Sydney,3769.0,1397.0,2372.0
2001-10-01,Melbourne,Greater Melbourne,3372.0,2354.0,1018.0
2001-10-01,Brisbane,Greater Brisbane,1436.0,1024.0,412.0
2001-10-01,Adelaide,Greater Adelaide,657.0,563.0,94.0
2001-10-01,Perth,Greater Perth,1403.0,1221.0,182.0
2001-10-01,Hobart,Greater Hobart,72.0,68.0,4.0
2001-10-01,Darwin,Greater Darwin,84.0,50.0,34.0
2001-10-01,ACT,Australian Capital Territory,411.0,85.0,326.0
2001-11-01,Sydney,Greater Sydney,3027.0,1287.0,1740.0
2001-11-01,Melbourne,Greater Melbourne,2751.0,2145.0,606.0
2001-11-01,Brisbane,Greater Brisbane,1416.0,1126.0,290.0
2001-11-01,Adelaide,Greater Adelaide,697.0,606.0,91.0
2001-11-01,Perth,Greater Perth,1634.0,1274.0,360.0
2001-11-01,Hobart,Greater Hobart,71.0,71.0,0.0
2001-11-01,Darwin,Greater Darwin,36.0,23.0,13.0
2001-11-01,ACT,Australian Capital Territory,378.0,100.0,278.0
2001-12-01,Sydney,Greater Sydney,2150.0,1039.0,1111.0
2001-12-01,Melbourne,Greater Melbourne,3007.0,1966.0,1041.0
2001-12-01,Brisbane,Greater Brisbane,1367.0,854.0,513.0
2001-12-01,Adelaide,Greater Adelaide,772.0,549.0,223.0
2001-12-01,Perth,Greater Perth,1216.0,1011.0,205.0
2001-12-01,Hobart,Greater Hobart,66.0,64.0,2.0
2001-12-01,Darwin,Greater Darwin,23.0,23.0,0.0
2001-12-01,ACT,Australian Capital Territory,180.0,107.0,73.0
2002-01-01,Sydney,Greater Sydney,2297.0,995.0,1302.0
2002-01-01,Melbourne,Greater Melbourne,2719.0,1682.0,1037.0
2002-01-01,Brisbane,Greater Brisbane,1213.0,928.0,285.0
2002-01-01,Adelaide,Greater Adelaide,592.0,529.0,63.0
2002-01-01,Perth,Greater Perth,1277.0,1114.0,163.0
2002-01-01,Hobart,Greater Hobart,92.0,86.0,6.0
2002-01-01,Darwin,Greater Darwin,38.0,36.0,2.0
2002-01-01,ACT,Australian Capital Territory,79.0,73.0,6.0
2002-02-01,Sydney,Greater Sydney,1992.0,1073.0,919.0
2002-02-01,Melbourne,Greater Melbourne,2864.0,2157.0,707.0
2002-02-01,Brisbane,Greater Brisbane,1308.0,1073.0,235.0
2002-02-01,Adelaide,Greater Adelaide,639.0,567.0,72.0
2002-02-01,Perth,Greater Perth,1283.0,1131.0,152.0
