date,state,state_name,approvals
1983-07-01,NSW,New South Wales,2889.0
1983-07-01,VIC,Victoria,2836.0
1983-07-01,QLD,Queensland,2285.0
1983-07-01,SA,South Australia,816.0
1983-07-01,WA,Western Australia,911.0
1983-07-01,TAS,Tasmania,231.0
1983-07-01,NT,Northern Territory,300.0
1983-07-01,ACT,Australian Capital Territory,210.0
1983-08-01,NSW,New South Wales,3506.0
1983-08-01,VIC,Victoria,3284.0
1983-08-01,QLD,Queensland,2613.0
1983-08-01,SA,South Australia,1030.0
1983-08-01,WA,Western Australia,1396.0
1983-08-01,TAS,Tasmania,280.0
1983-08-01,NT,Northern Territory,293.0
1983-08-01,ACT,Australian Capital Territory,143.0
1983-09-01,NSW,New South Wales,3441.0
1983-09-01,VIC,Victoria,2971.0
1983-09-01,QLD,Queensland,2966.0
1983-09-01,SA,South Australia,1001.0
1983-09-01,WA,Western Australia,1630.0
1983-09-01,TAS,Tasmania,297.0
1983-09-01,NT,Northern Territory,155.0
1983-09-01,ACT,Australian Capital Territory,142.0
1983-10-01,NSW,New South Wales,3438.0
1983-10-01,VIC,Victoria,3025.0
1983-10-01,QLD,Queensland,2937.0
1983-10-01,SA,South Australia,1117.0
1983-10-01,WA,Western Australia,1360.0
1983-10-01,TAS,Tasmania,321.0
1983-10-01,NT,Northern Territory,195.0
1983-10-01,ACT,Australian Capital Territory,144.0
1983-11-01,NSW,New South Wales,3685.0
1983-11-01,VIC,Victoria,3164.0
1983-11-01,QLD,Queensland,2937.0
1983-11-01,SA,South Australia,1062.0
1983-11-01,WA,Western Australia,1449.0
1983-11-01,TAS,Tasmania,327.0
1983-11-01,NT,Northern Territory,171.0
1983-11-01,ACT,Australian Capital Territory,243.0
1983-12-01,NSW,New South Wales,3762.0
1983-12-01,VIC,Victoria,2825.0
1983-12-01,QLD,Queensland,2328.0
1983-12-01,SA,South Australia,1062.0
1983-12-01,WA,Western Australia,1415.0
1983-12-01,TAS,Tasmania,282.0
1983-12-01,NT,Northern Territory,214.0
1983-12-01,ACT,Australian Capital Territory,160.0
1984-01-01,NSW,New South Wales,2921.0
1984-01-01,VIC,Victoria,2258.0
