date,houses,non_houses,total,total_sa
1983-07-01,8423.0,2055.0,10478.0,10806.0
1983-08-01,9680.0,2865.0,12545.0,11572.0
1983-09-01,10065.0,2538.0,12603.0,12003.0
1983-10-01,9644.0,2893.0,12537.0,12576.0
1983-11-01,10468.0,2573.0,13041.0,11916.0
1983-12-01,9660.0,2391.0,12051.0,13038.0
1984-01-01,7970.0,1954.0,9924.0,12256.0
1984-02-01,9799.0,3117.0,12889.0,13372.0
1984-03-01,10610.0,3650.0,14260.0,13708.0
1984-04-01,9405.0,2761.0,12166.0,13610.0
1984-05-01,12042.0,3905.0,15947.0,14183.0
1984-06-01,10430.0,2850.0,13280.0,13174.0
1984-07-01,10832.0,3150.0,13982.0,13594.0
1984-08-01,11828.0,3406.0,15234.0,13969.0
1984-09-01,9692.0,2816.0,12508.0,12816.0
1984-10-01,10880.0,3233.0,14113.0,13202.0
1984-11-01,10889.0,3851.0,14740.0,13584.0
1984-12-01,8631.0,3382.0,12013.0,13340.0
1985-01-01,8823.0,2804.0,11627.0,13297.0
1985-02-01,9103.0,3233.0,12336.0,13317.0
1985-03-01,10107.0,3365.0,13472.0,13757.0
1985-04-01,10225.0,3285.0,13510.0,14654.0
1985-05-01,11553.0,3246.0,14799.0,13262.0
1985-06-01,10030.0,3351.0,13381.0,13647.0
1985-07-01,10973.0,2967.0,13940.0,13049.0
1985-08-01,10697.0,3504.0,14201.0,13702.0
1985-09-01,9874.0,3075.0,12949.0,12865.0
1985-10-01,11223.0,3774.0,14997.0,13824.0
1985-11-01,9402.0,3368.0,12770.0,12138.0
1985-12-01,8102.0,2813.0,10915.0,11582.0
1986-01-01,7907.0,2227.0,10134.0,11852.0
1986-02-01,7924.0,2126.0,10050.0,10902.0
1986-03-01,7186.0,2397.0,9583.0,10487.0
1986-04-01,8246.0,2233.0,10479.0,10175.0
1986-05-01,8415.0,2212.0,10627.0,9862.0
1986-06-01,8439.0,2942.0,11381.0,11132.0
1986-07-01,8680.0,3171.0,11851.0,11153.0
1986-08-01,7875.0,2106.0,9981.0,10082.0
1986-09-01,8218.0,2275.0,10493.0,10040.0
1986-10-01,8413.0,2451.0,10864.0,10159.0
1986-11-01,7948.0,2295.0,10243.0,10213.0
1986-12-01,7620.0,2307.0,9927.0,10402.0
1987-01-01,6148.0,1768.0,7916.0,9770.0
1987-02-01,7023.0,2267.0,9290.0,10021.0
1987-03-01,8143.0,2284.0,10427.0,10009.0
1987-04-01,7331.0,1954.0,9285.0,9657.0
1987-05-01,8199.0,2393.0,10592.0,10241.0
1987-06-01,8300.0,2847.0,11147.0,10349.0
1987-07-01,8832.0,2473.0,11305.0,10642.0
1987-08-01,8095.0,2563.0,10658.0,10844.0
1987-09-01,9212.0,2479.0,11691.0,11095.0
1987-10-01,9631.0,2575.0,12206.0,11832.0
1987-11-01,10068.0,2722.0,12790.0,12364.0
1987-12-01,9395.0,2548.0,11943.0,12471.0
1988-01-01,7880.0,2604.0,10484.0,13341.0
1988-02-01,9303.0,3656.0,12959.0,13380.0
1988-03-01,11219.0,3418.0,14637.0,13232.0
1988-04-01,9808.0,2873.0,12681.0,14061.0
1988-05-01,11965.0,3513.0,15478.0,14248.0
1988-06-01,12337.0,3852.0,16189.0,15114.0
1988-07-01,11511.0,3585.0,15096.0,15457.0
1988-08-01,13452.0,4654.0,18106.0,16997.0
1988-09-01,12983.0,4062.0,17045.0,16175.0
1988-10-01,11649.0,4040.0,15689.0,15899.0
1988-11-01,13077.0,4454.0,17531.0,16079.0
1988-12-01,10433.0,3640.0,14073.0,15605.0
1989-01-01,9526.0,3148.0,12674.0,15421.0
1989-02-01,10874.0,3872.0,14746.0,15806.0
1989-03-01,11204.0,4326.0,15530.0,15302.0
1989-04-01,11176.0,3829.0,15005.0,15998.0
1989-05-01,12179.0,5159.0,17338.0,15283.0
1989-06-01,10413.0,5095.0,15508.0,14537.0
1989-07-01,8536.0,3619.0,12155.0,12455.0
1989-08-01,9540.0,3979.0,13519.0,12530.0
1989-09-01,8446.0,4093.0,12539.0,12422.0
1989-10-01,9046.0,3754.0,12800.0,12506.0
1989-11-01,9047.0,4376.0,13423.0,12381.0
1989-12-01,7444.0,2248.0,9692.0,11338.0
1990-01-01,7138.0,2535.0,9673.0,11380.0
1990-02-01,7776.0,3454.0,11230.0,12038.0
1990-03-01,9018.0,3415.0,12433.0,11722.0
1990-04-01,7127.0,2756.0,9883.0,11105.0
1990-05-01,9383.0,3800.0,13183.0,11459.0
1990-06-01,8356.0,2982.0,11338.0,11089.0
1990-07-01,7959.0,3017.0,10976.0,10655.0
1990-08-01,8218.0,3409.0,11627.0,10921.0
1990-09-01,7485.0,2989.0,10474.0,10697.0
1990-10-01,8372.0,3109.0,11481.0,10884.0
1990-11-01,8996.0,2994.0,11990.0,11115.0
1990-12-01,6442.0,2061.0,8503.0,9978.0
1991-01-01,7097.0,2182.0,9279.0,10595.0
1991-02-01,7309.0,2642.0,9951.0,10700.0
1991-03-01,7184.0,2708.0,9892.0,10448.0
1991-04-01,7817.0,2301.0,10118.0,10137.0
1991-05-01,9387.0,3298.0,12685.0,11183.0
1991-06-01,7841.0,2558.0,10399.0,10767.0
1991-07-01,9702.0,3137.0,12839.0,11922.0
1991-08-01,9366.0,3061.0,12427.0,11965.0
1991-09-01,9095.0,3152.0,12247.0,12128.0
1991-10-01,10344.0,2980.0,13324.0,12215.0
1991-11-01,9160.0,2886.0,12046.0,11768.0
1991-12-01,7801.0,3019.0,10820.0,12082.0
1992-01-01,7492.0,3292.0,10784.0,12715.0
1992-02-01,8422.0,3112.0,11534.0,12340.0
1992-03-01,9844.0,3663.0,13507.0,12920.0
1992-04-01,9365.0,3851.0,13216.0,13617.0
1992-05-01,9871.0,4154.0,14025.0,13273.0
1992-06-01,10465.0,4308.0,14773.0,13637.0
1992-07-01,10994.0,3626.0,14620.0,13502.0
1992-08-01,9931.0,3676.0,13607.0,13727.0
1992-09-01,10798.0,3666.0,14464.0,13536.0
1992-10-01,10889.0,3655.0,14544.0,14023.0
1992-11-01,10493.0,4187.0,14680.0,14459.0
1992-12-01,9852.0,4307.0,14159.0,15066.0
1993-01-01,8196.0,3838.0,12034.0,15263.0
1993-02-01,9362.0,3785.0,13147.0,14227.0
1993-03-01,11543.0,4530.0,16073.0,14970.0
1993-04-01,9921.0,4354.0,14275.0,15123.0
1993-05-01,10557.0,4574.0,15131.0,14375.0
1993-06-01,11088.0,4448.0,15536.0,14515.0
1993-07-01,11167.0,4768.0,15935.0,15526.0
1993-08-01,10929.0,4590.0,15519.0,14913.0
1993-09-01,11491.0,4727.0,16218.0,15056.0
1993-10-01,10693.0,4266.0,14959.0,15291.0
1993-11-01,11257.0,5253.0,16510.0,15441.0
1993-12-01,9927.0,4316.0,14243.0,15353.0
1994-01-01,8550.0,4542.0,13092.0,16232.0
1994-02-01,9855.0,4353.0,14208.0,15433.0
1994-03-01,11989.0,5014.0,17003.0,15555.0
1994-04-01,9925.0,4258.0,14183.0,15696.0
1994-05-01,12885.0,6461.0,19346.0,17747.0
1994-06-01,11861.0,5767.0,17628.0,16521.0
1994-07-01,10945.0,4497.0,15442.0,15445.0
1994-08-01,12329.0,6776.0,19105.0,17819.0
1994-09-01,11749.0,6507.0,18256.0,17306.0
1994-10-01,10803.0,4765.0,15568.0,15874.0
1994-11-01,11312.0,4597.0,15909.0,14775.0
1994-12-01,8552.0,4411.0,12963.0,14364.0
1995-01-01,7727.0,3611.0,11338.0,13544.0
1995-02-01,8124.0,4103.0,12227.0,13354.0
1995-03-01,9136.0,4366.0,13502.0,12657.0
1995-04-01,6994.0,3576.0,10570.0,11925.0
1995-05-01,9003.0,4994.0,13997.0,12387.0
1995-06-01,8432.0,3774.0,12206.0,11649.0
1995-07-01,7715.0,3773.0,11488.0,11377.0
1995-08-01,8473.0,3178.0,11651.0,10789.0
1995-09-01,7981.0,3087.0,11068.0,10924.0
1995-10-01,7607.0,2630.0,10237.0,10050.0
1995-11-01,7949.0,3114.0,11063.0,10159.0
1995-12-01,6128.0,2707.0,8835.0,10197.0
1996-01-01,6004.0,2300.0,8304.0,9489.0
1996-02-01,6921.0,3188.0,10109.0,10543.0
1996-03-01,7165.0,2998.0,10163.0,10271.0
1996-04-01,6993.0,2904.0,9897.0,10347.0
1996-05-01,7786.0,4355.0,12141.0,10801.0
1996-06-01,6878.0,2878.0,9756.0,10111.0
1996-07-01,8018.0,4129.0,12147.0,10983.0
1996-08-01,7749.0,3636.0,11385.0,11086.0
1996-09-01,7656.0,2523.0,10179.0,10058.0
1996-10-01,7857.0,4124.0,11981.0,11329.0
1996-11-01,7465.0,3858.0,11323.0,11046.0
1996-12-01,6826.0,3017.0,9843.0,10747.0
1997-01-01,6462.0,3598.0,10060.0,11459.0
1997-02-01,6813.0,4319.0,11132.0,12219.0
1997-03-01,7493.0,3508.0,11001.0,11972.0
1997-04-01,8685.0,3694.0,12379.0,11936.0
1997-05-01,9721.0,3897.0,13618.0,12522.0
1997-06-01,7903.0,3674.0,11577.0,11707.0
1997-07-01,8667.0,4091.0,12758.0,11451.0
1997-08-01,8859.0,4390.0,13249.0,13570.0
1997-09-01,9244.0,3961.0,13205.0,12593.0
1997-10-01,9212.0,3479.0,12691.0,12078.0
1997-11-01,8638.0,4439.0,13077.0,12951.0
1997-12-01,8449.0,4136.0,12585.0,13059.0
1998-01-01,7414.0,3727.0,11141.0,13124.0
1998-02-01,8169.0,3398.0,11567.0,12744.0
1998-03-01,9754.0,4099.0,13853.0,13371.0
1998-04-01,9073.0,4926.0,13999.0,14349.0
1998-05-01,9602.0,4266.0,13868.0,13218.0
1998-06-01,10017.0,4532.0,14549.0,14130.0
1998-07-01,9533.0,4969.0,14502.0,13853.0
1998-08-01,8708.0,3787.0,12495.0,12654.0
1998-09-01,9381.0,3781.0,13162.0,12513.0
1998-10-01,8946.0,3550.0,12496.0,12355.0
1998-11-01,8827.0,4819.0,13646.0,13201.0
1998-12-01,8150.0,4633.0,12783.0,13064.0
1999-01-01,6758.0,3358.0,10116.0,12396.0
1999-02-01,8542.0,4343.0,12885.0,13364.0
1999-03-01,10059.0,3824.0,13883.0,12895.0
1999-04-01,8376.0,4182.0,12558.0,13378.0
1999-05-01,10164.0,3733.0,13897.0,13209.0
1999-06-01,10020.0,4587.0,14607.0,13895.0
1999-07-01,10187.0,4762.0,14949.0,14787.0
1999-08-01,10486.0,5184.0,15670.0,15240.0
1999-09-01,11215.0,4125.0,15340.0,14770.0
1999-10-01,10276.0,4302.0,14578.0,14963.0
1999-11-01,11936.0,4721.0,16657.0,15484.0
1999-12-01,11460.0,3764.0,15224.0,15810.0
2000-01-01,9104.0,4647.0,13751.0,16588.0
2000-02-01,11538.0,5202.0,16740.0,16398.0
2000-03-01,11868.0,3819.0,15687.0,14510.0
2000-04-01,8332.0,3969.0,12301.0,14142.0
2000-05-01,9785.0,5006.0,14791.0,13097.0
2000-06-01,7276.0,3986.0,11262.0,10958.0
