year,gccsa_name,population
2001,Greater Sydney,4102580
2002,Greater Sydney,4135637
2003,Greater Sydney,4162593
2004,Greater Sydney,4184763
2005,Greater Sydney,4217563
2006,Greater Sydney,4256161
2007,Greater Sydney,4325525
2008,Greater Sydney,4409562
2009,Greater Sydney,4492380
2010,Greater Sydney,4555516
2011,Greater Sydney,4608949
2012,Greater Sydney,4677196
2013,Greater Sydney,4757364
2014,Greater Sydney,4841349
2015,Greater Sydney,4930189
2016,Greater Sydney,5024923
2017,Greater Sydney,5119495
2018,Greater Sydney,5190353
2019,Greater Sydney,5256836
2020,Greater Sydney,5295529
2021,Greater Sydney,5261801
2022,Greater Sydney,5312887
2023,Greater Sydney,5458942
2024,Greater Sydney,5563600
2025,Greater Sydney,5638830
2001,Rest of NSW,2427769
2002,Rest of NSW,2445170
2003,Rest of NSW,2458122
2004,Rest of NSW,2465972
2005,Rest of NSW,2475643
2006,Rest of NSW,2486529
2007,Rest of NSW,2508631
2008,Rest of NSW,2533899
2009,Rest of NSW,2561375
2010,Rest of NSW,2588776
2011,Rest of NSW,2609580
2012,Rest of NSW,2627048
2013,Rest of NSW,2646668
2014,Rest of NSW,2667004
2015,Rest of NSW,2685979
2016,Rest of NSW,2707935
2017,Rest of NSW,2735821
2018,Rest of NSW,2764123
2019,Rest of NSW,2789912
2020,Rest of NSW,2815081
2021,Rest of NSW,2835261
2022,Rest of NSW,2869211
2023,Rest of NSW,2897445
2024,Rest of NSW,2928450
2025,Rest of NSW,2953694
2001,Greater Melbourne,3500249
2002,Greater Melbourne,3545579
2003,Greater Melbourne,3594031
2004,Greater Melbourne,3641951
2005,Greater Melbourne,3697372
2006,Greater Melbourne,3760760
2007,Greater Melbourne,3841760
2008,Greater Melbourne,3931438
2009,Greater Melbourne,4031787
2010,Greater Melbourne,4105857
2011,Greater Melbourne,4169366
2012,Greater Melbourne,4265843
2013,Greater Melbourne,4370067
2014,Greater Melbourne,4476030
2015,Greater Melbourne,4586012
2016,Greater Melbourne,4714387
2017,Greater Melbourne,4820116
2018,Greater Melbourne,4916589
2019,Greater Melbourne,5006457
2020,Greater Melbourne,5061107
2021,Greater Melbourne,4975319
2022,Greater Melbourne,5028420
2023,Greater Melbourne,5194491
2024,Greater Melbourne,5330560
2025,Greater Melbourne,5435590
2001,Rest of Vic.,1263366
2002,Rest of Vic.,1272195
2003,Rest of Vic.,1279778
2004,Rest of Vic.,1285198
