sa4_name,centroid_lon,centroid_lat
Capital Region,149.245,-35.5648
Central Coast,151.2855,-33.308
Central West,148.3558,-33.217
Coffs Harbour - Grafton,152.7739,-29.816
Far West and Orana,145.027,-30.9861
Hunter Valley exc Newcastle,150.9849,-32.3548
Illawarra,150.7711,-34.4346
Mid North Coast,152.3411,-31.5648
Murray,144.0434,-34.4227
New England and North West,150.702,-30.0634
Newcastle and Lake Macquarie,151.5763,-32.9966
Richmond - Tweed,153.0638,-28.7436
Riverina,146.7718,-34.6232
Southern Highlands and Shoalhaven,150.3658,-34.874
Sydney - Baulkham Hills and Hawkesbury,150.8288,-33.3685
Sydney - Blacktown,150.8643,-33.7407
Sydney - City and Inner South,151.1926,-33.9175
Sydney - Eastern Suburbs,151.2483,-33.9158
Sydney - Inner South West,151.0641,-33.9417
Sydney - Inner West,151.1188,-33.8733
Sydney - North Sydney and Hornsby,151.1599,-33.6938
Sydney - Northern Beaches,151.2497,-33.6902
Sydney - Outer South West,150.6816,-34.1228
Sydney - Outer West and Blue Mountains,150.3804,-33.8742
Sydney - Parramatta,151.0047,-33.826
Sydney - Ryde,151.1008,-33.7874
Sydney - South West,150.817,-33.932
Sydney - Sutherland,151.0631,-34.0754
Migratory - Offshore - Shipping (NSW),,
No usual address (NSW),,
Ballarat,143.7346,-37.3756
Bendigo,144.0945,-36.6007
Geelong,144.1266,-38.111
Hume,146.4137,-36.7761
Latrobe - Gippsland,147.4116,-37.7305
Melbourne - Inner,144.9645,-37.8002
Melbourne - Inner East,145.1049,-37.8048
Melbourne - Inner South,145.0638,-37.9503
Melbourne - North East,145.1692,-37.5207
Melbourne - North West,144.7458,-37.476
Melbourne - Outer East,145.5059,-37.7596
Melbourne - South East,145.4682,-38.0732
Melbourne - West,144.625,-37.7765
Mornington Peninsula,145.0563,-38.3103
North West,142.2378,-35.8681
Shepparton,145.1678,-36.252
Warrnambool and South West,142.3823,-37.9744
Migratory - Offshore - Shipping (Vic.),,
No usual address (Vic.),,
Brisbane - East,153.3258,-27.5477
Brisbane - North,153.06,-27.368
Brisbane - South,153.0695,-27.567
Brisbane - West,152.9075,-27.4858
Brisbane Inner City,153.0275,-27.4524
Cairns,145.5092,-17.6267
Darling Downs - Maranoa,149.3557,-27.3167
Central Queensland,149.3257,-24.1098
Gold Coast,153.2707,-28.0131
Ipswich,152.5507,-27.6102
Logan - Beaudesert,152.964,-27.9989
Mackay - Isaac - Whitsunday,147.9247,-21.7423
Moreton Bay - North,152.5815,-26.8702
Moreton Bay - South,152.8597,-27.2693
Queensland - Outback,142.5237,-21.8074
Sunshine Coast,152.909,-26.5891
Toowoomba,152.0841,-27.6166
Townsville,145.9324,-20.0402
Wide Bay,151.7864,-25.6255
Migratory - Offshore - Shipping (Qld),,
No usual address (Qld),,
Adelaide - Central and Hills,138.8375,-34.9713
Adelaide - North,138.6649,-34.6872
Adelaide - South,138.5715,-35.1428
Adelaide - West,138.5302,-34.8748
Barossa - Yorke - Mid North,138.4462,-33.6575
South Australia - Outback,135.3774,-29.4836
South Australia - South East,139.9124,-35.6987
Migratory - Offshore - Shipping (SA),,
No usual address (SA),,
Bunbury,116.0092,-33.9548
Mandurah,115.8306,-32.6323
Perth - Inner,115.8099,-31.9562
Perth - North East,116.134,-31.8084
Perth - North West,115.7697,-31.6622
Perth - South East,116.0629,-32.2067
Perth - South West,115.8004,-32.2238
Western Australia - Wheat Belt,117.9185,-32.0672
Western Australia - Outback (North),123.7217,-20.0414
Western Australia - Outback (South),121.9899,-27.7343
Migratory - Offshore - Shipping (WA),,
No usual address (WA),,
Hobart,147.4376,-42.8311
Launceston and North East,147.4579,-41.3613
South East,146.8643,-42.6314
West and North West,145.4795,-41.6293
Migratory - Offshore - Shipping (Tas.),,
No usual address (Tas.),,
Darwin,131.1071,-12.523
Northern Territory - Outback,133.37,-19.4304
Migratory - Offshore - Shipping (NT),,
No usual address (NT),,
Australian Capital Territory,149.0025,-35.4887
Migratory - Offshore - Shipping (ACT),,
No usual address (ACT),,
Outside Australia,,
